doc_id|date|year|month|day|hour|sentence|text|admiration|amusement|anger|annoyance|approval|caring|confusion|curiosity|desire|disappointment|disapproval|disgust|embarrassment|excitement|fear|gratitude|grief|joy|love|nervousness|optimism|pride|realization|relief|remorse|sadness|surprise|neutral
2024-12-02_16-13-13-235.txt|2024-12-02|2024|12|2|16|1|Why do you think that could be the case?|0.001970047|0.0015935092|0.0018239019|0.00772169|0.0089162495|0.00221649|0.3679048|0.62250173|0.001434275|0.0019803236|0.00564418|0.00113942|0.00059734477|0.0016514104|0.0016462329|0.0011457338|0.00025486786|0.00080834515|0.001470733|0.00061999285|0.00558376|0.000056464432|0.0055144075|0.00016918298|0.00045744065|0.0011151779|0.0065251947|0.2614199
2024-12-02_16-13-13-235.txt|2024-12-02|2024|12|2|16|2|There are plenty of other reasons why probably.|0.002054021|0.0023551043|0.0007232181|0.0049806205|0.08277765|0.0010346856|0.20240702|0.00791262|0.0010518292|0.0022730085|0.01250795|0.0010542836|0.0004801327|0.0009923833|0.0007237401|0.0018041485|0.00024947597|0.0013999481|0.0011497287|0.0005031051|0.009655874|0.00021960193|0.05847685|0.0005007018|0.00041566096|0.00082510733|0.0014707805|0.72867113
2024-12-02_16-13-13-235.txt|2024-12-02|2024|12|2|16|3|Today has been such a great day so far that there's really nothing on my mind but success, sweet, sweet success and nothing else.|0.5147213|0.0051691676|0.0019478857|0.008511162|0.08432342|0.00845524|0.0012366553|0.0011362236|0.0061480254|0.0026206903|0.0052504917|0.00077217683|0.00051290187|0.09263388|0.0005865504|0.058749538|0.0010046756|0.61382854|0.011454582|0.0009735874|0.012538437|0.026969492|0.008357367|0.026981395|0.0003339709|0.0016188318|0.0028060381|0.0183269
2024-12-02_19-20-00-554.txt|2024-12-02|2024|12|2|19|1|I guess I've got to break the bad news to you all...|0.0023158456|0.0028601615|0.001906495|0.010791143|0.014190191|0.056137905|0.0030886845|0.0043307655|0.008424394|0.12948075|0.008021592|0.0025476506|0.0019871679|0.003081544|0.011482618|0.0018762918|0.01227198|0.006475842|0.0041318717|0.03707034|0.012923642|0.0005991866|0.011075627|0.0063259243|0.020936709|0.6804175|0.0019104679|0.06910241
2024-12-02_19-20-00-554.txt|2024-12-02|2024|12|2|19|2|Somebody hit my truck on it's left side panel while I was eating a delicious chimichanga from Walmart.|0.03763515|0.004591719|0.0020669391|0.0122459065|0.03500238|0.0021519964|0.0005503451|0.00045589113|0.0031314476|0.0097417105|0.0022542046|0.005115651|0.0020886997|0.027841767|0.007847783|0.0006924717|0.0019914424|0.07926798|0.00774701|0.0026288345|0.0028612714|0.008779943|0.018850034|0.006296268|0.0005770615|0.008554754|0.004123432|0.6172108
2024-12-02_19-20-00-554.txt|2024-12-02|2024|12|2|19|3|I've never cried more over a bnuch of beans and rice then when I saw the metal get dented like a foldable crepe.|0.0023800316|0.009878251|0.00467395|0.026188832|0.0066839997|0.0015112767|0.0045931423|0.0039214953|0.0030253588|0.103279166|0.008054906|0.012658029|0.011230843|0.0056373356|0.03424941|0.00085836597|0.02297474|0.012013892|0.0037366361|0.023883289|0.0015897085|0.0010360242|0.09006261|0.0047353082|0.0021319564|0.53383315|0.053119395|0.16995367
2024-12-02_21-18-56-935.txt|2024-12-02|2024|12|2|21|1|This is a part of the process.|0.0026087724|0.0007161811|0.00073985|0.004483585|0.108979|0.00088231155|0.004363215|0.0010524287|0.00086465967|0.0025052023|0.007511282|0.00095769943|0.00026753944|0.000609082|0.0003862681|0.0007890562|0.0001711128|0.00078086735|0.0012423677|0.00016911025|0.0048781997|0.0002523392|0.026450913|0.0003940539|0.000249996|0.00079350034|0.00041813185|0.8897027
2024-12-02_21-18-56-935.txt|2024-12-02|2024|12|2|21|2|What more could there be really?|0.0018874598|0.0020739192|0.0026016447|0.009714296|0.01012926|0.0016512036|0.3693718|0.57709944|0.0016459902|0.0020723578|0.008170754|0.0014797681|0.00057299837|0.0015221743|0.0010279866|0.0007317948|0.00022246406|0.00069985085|0.0014688077|0.00039558747|0.0049947263|0.00005614941|0.004555651|0.00014575107|0.00035251537|0.00096364465|0.0050558085|0.34932086
2024-12-02_21-18-56-935.txt|2024-12-02|2024|12|2|21|3|I like how there's so much to see and do!|0.2992543|0.0022243764|0.0014564111|0.0024514217|0.103405304|0.0020020697|0.0029007664|0.0019218763|0.0031146412|0.0019438483|0.0032483526|0.00083642895|0.00028107522|0.0142866755|0.00038199426|0.00356081|0.00025010807|0.07178512|0.79359126|0.00027525553|0.004852858|0.0015069218|0.0057788105|0.0010182647|0.0004428717|0.0011603958|0.0016959953|0.018934608
2024-12-02_21-18-56-935.txt|2024-12-02|2024|12|2|21|4|What a brand new world that makes you really start to think about things really?|0.031756353|0.0030166|0.0023344806|0.0076344893|0.048434213|0.0017956841|0.114856675|0.6504733|0.0025194774|0.0023718972|0.0031648763|0.0018460935|0.0011095754|0.05583083|0.0031793844|0.0010245416|0.00053704705|0.00583343|0.0030129321|0.002053552|0.0078569|0.00045908926|0.031194525|0.00093338534|0.00033394256|0.0010487|0.15921709|0.105386846
