"doc_id","date","text","sentence","sentence_num","joy","sadness","anger","fear","trust","year","month","day","hour"
"20230101_1",2023-01-01,"The weather was beautiful. Taking time for self-care really helped. I felt quite stressed at work. Spent time reflecting on my goals.","The weather was beautiful.",1,0.892419044394046,0.551435014465824,0.456614735303447,0.956833345349878,0.453334156190977,"2023","01","01",21
"20230101_1",2023-01-01,"The weather was beautiful. Taking time for self-care really helped. I felt quite stressed at work. Spent time reflecting on my goals.","Taking time for self-care really helped.",2,0.677570635452867,0.572633401956409,0.102924682665616,0.899824970401824,0.24608773435466,"2023","01","01",10
"20230101_1",2023-01-01,"The weather was beautiful. Taking time for self-care really helped. I felt quite stressed at work. Spent time reflecting on my goals.","I felt quite stressed at work.",3,0.0420595335308462,0.327920719282702,0.954503649147227,0.889539316063747,0.6928034061566,"2023","01","01",18
"20230101_1",2023-01-01,"The weather was beautiful. Taking time for self-care really helped. I felt quite stressed at work. Spent time reflecting on my goals.","Spent time reflecting on my goals.",4,0.640506813768297,0.994269776623696,0.655705799115822,0.708530468167737,0.544066024711356,"2023","01","01",11
"20230101_2",2023-01-01,"Made significant progress on my project. The meeting went better than expected. Things didn't go as planned.","Made significant progress on my project.",1,0.690705278422683,0.795467417687178,0.0246136845089495,0.477795971091837,0.758459537522867,"2023","01","01",22
"20230101_2",2023-01-01,"Made significant progress on my project. The meeting went better than expected. Things didn't go as planned.","The meeting went better than expected.",2,0.216407935833558,0.318181007634848,0.231625785352662,0.142800022382289,0.414546335814521,"2023","01","01",16
"20230101_2",2023-01-01,"Made significant progress on my project. The meeting went better than expected. Things didn't go as planned.","Things didn't go as planned.",3,0.413724326295778,0.368845450924709,0.152444747742265,0.13880606344901,0.233034099452198,"2023","01","01",12
"20230101_3",2023-01-01,"Made significant progress on my project. Feeling optimistic about the future. Taking time for self-care really helped.","Made significant progress on my project.",1,0.12189925997518,0.560947983758524,0.20653138961643,0.127531650243327,0.753307864302769,"2023","01","01",21
"20230101_3",2023-01-01,"Made significant progress on my project. Feeling optimistic about the future. Taking time for self-care really helped.","Feeling optimistic about the future.",2,0.895045359153301,0.374462775886059,0.665115194628015,0.0948406609240919,0.383969637798145,"2023","01","01",9
"20230101_3",2023-01-01,"Made significant progress on my project. Feeling optimistic about the future. Taking time for self-care really helped.","Taking time for self-care really helped.",3,0.27438364457339,0.814640038879588,0.448516341391951,0.810064353048801,0.812389509519562,"2023","01","01",16
"20230102_1",2023-01-02,"Things didn't go as planned. Feeling optimistic about the future.","Things didn't go as planned.",1,0.710182401351631,0.000624773325398564,0.475316574098542,0.220118885161355,0.379816537722945,"2023","01","02",8
