doc_id|date|year|month|day|hour|sentence|text
2024-12-02_16-13-13-235.txt|2024-12-02|2024|12|2|16|1|Why do you think that could be the case?
2024-12-02_16-13-13-235.txt|2024-12-02|2024|12|2|16|2|There are plenty of other reasons why probably.
2024-12-02_16-13-13-235.txt|2024-12-02|2024|12|2|16|3|Today has been such a great day so far that there's really nothing on my mind but success, sweet, sweet success and nothing else.
2024-12-02_19-20-00-554.txt|2024-12-02|2024|12|2|19|1|I guess I've got to break the bad news to you all...
2024-12-02_19-20-00-554.txt|2024-12-02|2024|12|2|19|2|Somebody hit my truck on it's left side panel while I was eating a delicious chimichanga from Walmart.
2024-12-02_19-20-00-554.txt|2024-12-02|2024|12|2|19|3|I've never cried more over a bnuch of beans and rice then when I saw the metal get dented like a foldable crepe.
2024-12-02_21-18-56-935.txt|2024-12-02|2024|12|2|21|1|This is a part of the process.
2024-12-02_21-18-56-935.txt|2024-12-02|2024|12|2|21|2|What more could there be really?
2024-12-02_21-18-56-935.txt|2024-12-02|2024|12|2|21|3|I like how there's so much to see and do!
2024-12-02_21-18-56-935.txt|2024-12-02|2024|12|2|21|4|What a brand new world that makes you really start to think about things really?
2024-12-02_21-18-56-935.txt|2024-12-02|2024|12|2|21|5|But aren't you worried?
2024-12-02_21-18-56-935.txt|2024-12-02|2024|12|2|21|6|No, not really.
2024-12-02_16-05-40-145.txt|2024-12-02|2024|12|2|16|1|I've thought about a lot things recently like if there's sense of time space beyond comprehension.
2024-12-02_16-05-40-145.txt|2024-12-02|2024|12|2|16|2|What if there really were other types of reality in the great cosmos?
2024-12-02_16-05-40-145.txt|2024-12-02|2024|12|2|16|3|How could I be so blind as to not see any of it!
2024-12-02_16-05-40-145.txt|2024-12-02|2024|12|2|16|4|Where is the answer!
2024-12-02_16-05-40-145.txt|2024-12-02|2024|12|2|16|5|Where?
2024-12-02_16-05-40-145.txt|2024-12-02|2024|12|2|16|6|I don't know exactly, but it must be out there.
2024-12-04_11-23-48-808.txt|2024-12-04|2024|12|4|11|1|hello my name is johnny and i am a junjor at byu idaho.
2024-12-04_11-23-48-808.txt|2024-12-04|2024|12|4|11|2|i like baseball and am studying data science.
2024-12-04_11-23-48-808.txt|2024-12-04|2024|12|4|11|3|I have six cats and all of them do not like me, but that is ok.
2024-12-04_11-23-48-808.txt|2024-12-04|2024|12|4|11|4|I give them tuna every night while I read them a bedtime story.
2024-12-04_11-23-48-808.txt|2024-12-04|2024|12|4|11|5|I then tell them how much I appreciate each of them individually.
2024-12-04_11-23-48-808.txt|2024-12-04|2024|12|4|11|6|I first pet each of their heads.
2024-12-04_11-23-48-808.txt|2024-12-04|2024|12|4|11|7|I then give them a fist-bump.
